"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","52.96","51.72","52.96","51.72","3.33M","3.16%"
"12/28/2018","51.34","52.20","52.47","50.81","2.82M","-1.19%"
"12/27/2018","51.96","50.72","51.98","50.00","3.49M","0.76%"
"12/26/2018","51.57","48.60","51.62","48.46","4.42M","6.90%"
"12/24/2018","48.24","48.53","51.01","47.72","1.78M","-1.27%"
"12/21/2018","48.86","50.77","51.60","48.61","6.19M","-3.07%"
"12/20/2018","50.41","50.81","51.97","49.65","6.12M","-1.08%"
"12/19/2018","50.96","52.99","53.53","50.74","4.90M","-1.94%"
"12/18/2018","51.97","52.79","53.50","51.56","5.96M","-0.50%"
"12/17/2018","52.23","52.36","54.37","51.56","10.19M","-5.67%"
"12/14/2018","55.37","55.25","57.40","55.06","5.23M","-1.00%"
"12/13/2018","55.93","58.73","58.82","55.56","5.61M","-5.17%"
"12/12/2018","58.98","58.74","59.85","58.41","4.71M","1.53%"
"12/11/2018","58.09","59.43","59.99","57.57","3.56M","-0.97%"
"12/10/2018","58.66","60.37","60.37","58.07","3.78M","-3.17%"
"12/07/2018","60.58","62.22","63.64","60.36","3.64M","-2.73%"
"12/06/2018","62.28","61.26","62.35","60.34","5.25M","0.03%"
"12/04/2018","62.26","66.71","67.06","62.03","7.04M","-7.06%"
"12/03/2018","66.99","66.09","67.56","65.77","6.54M","3.72%"
"11/30/2018","64.59","63.87","65.00","63.34","3.99M","0.81%"
"11/29/2018","64.07","65.02","65.09","63.90","4.24M","-2.32%"
"11/28/2018","65.59","64.98","65.81","64.04","3.96M","1.41%"
"11/27/2018","64.68","64.00","64.98","63.32","4.06M","0.53%"
"11/26/2018","64.34","63.62","64.85","63.46","5.71M","2.86%"
"11/23/2018","62.55","61.99","62.97","61.88","3.85M","0.74%"
"11/21/2018","62.09","64.42","65.00","60.84","9.10M","-2.27%"
"11/20/2018","63.53","61.00","65.54","60.07","11.89M","2.14%"
"11/19/2018","62.20","66.10","67.29","62.18","7.46M","-6.37%"
"11/16/2018","66.43","67.44","67.56","65.52","5.28M","-1.99%"
"11/15/2018","67.78","65.93","68.28","64.81","5.49M","1.85%"
"11/14/2018","66.55","67.63","69.10","66.09","4.39M","-0.75%"
"11/13/2018","67.05","64.95","67.70","64.85","5.59M","-0.15%"
"11/12/2018","67.15","67.60","68.38","66.55","4.20M","-0.94%"
"11/09/2018","67.79","73.15","73.29","67.71","6.36M","-7.43%"
"11/08/2018","73.23","72.45","73.59","72.01","2.95M","0.58%"
"11/07/2018","72.81","71.94","72.86","70.56","2.31M","1.58%"
"11/06/2018","71.68","71.04","71.91","70.09","2.39M","0.82%"
"11/05/2018","71.10","71.84","72.06","69.52","3.09M","-1.10%"
"11/02/2018","71.89","73.89","75.11","70.46","4.08M","-1.63%"
"11/01/2018","73.08","70.07","73.14","69.20","2.98M","4.16%"
"10/31/2018","70.16","71.26","71.71","70.13","2.51M","-0.50%"
"10/30/2018","70.51","68.06","70.89","67.68","3.16M","3.72%"
"10/29/2018","67.98","68.97","70.03","67.00","3.29M","-0.69%"
"10/26/2018","68.45","68.44","69.33","66.08","3.88M","-1.04%"
"10/25/2018","69.17","69.26","70.45","68.88","2.66M","0.32%"
"10/24/2018","68.95","71.66","72.87","68.77","3.97M","-3.80%"
"10/23/2018","71.67","70.91","71.99","69.57","2.84M","-0.72%"
"10/22/2018","72.19","71.20","72.52","70.60","2.15M","1.98%"
"10/19/2018","70.79","72.88","72.93","70.47","2.93M","-2.56%"
"10/18/2018","72.65","73.47","73.85","71.86","2.45M","-1.60%"
"10/17/2018","73.83","74.69","75.07","72.55","2.57M","-1.31%"
