"";"timestamp";"demand_kW";"apparent_temperature";"air_temperature";"dew_point_temperature";"relative_humidity";"wind_speed"
"1";2018-01-01;375,996857142857;16,6;16,2;13,5;84;3,6
"2";2018-01-01 01:00:00;373,581714285714;16,7;15,6;13,4;87;0
"3";2018-01-01 02:00:00;372,714428571429;16,2;15,1;13,6;91;0
"4";2018-01-01 03:00:00;374,887428571429;15,9;14,8;14,6;99;1,8
"5";2018-01-01 04:00:00;370,359857142857;16,2;14,8;14,5;98;0
"6";2018-01-01 05:00:00;362,958714285714;16,7;15,2;14,6;96;0
"7";2018-01-01 06:00:00;375,964714285714;16,8;15,2;15;99;0
"8";2018-01-01 07:00:00;401,961571428571;17;15,3;15,1;99;0
"9";2018-01-01 08:00:00;409,414285714286;16,5;16,6;13,1;80;5,4
"10";2018-01-01 09:00:00;422,023;16,4;17,9;11;64;9,4
"11";2018-01-01 10:00:00;439,000142857143;17,2;19,5;10,5;56;13
"12";2018-01-01 11:00:00;448,492428571429;18,5;20,5;10,6;53;11,2
"13";2018-01-01 12:00:00;466,105142857143;21,8;22,2;11;49;3,6
"14";2018-01-01 13:00:00;476,724857142857;20,4;22,6;9,7;44;11,2
"15";2018-01-01 14:00:00;486,705;23,1;24,8;11,4;43;11,2
"16";2018-01-01 15:00:00;494,323;23,4;25,2;9,9;38;9,4
"17";2018-01-01 16:00:00;486,192571428571;25;26,4;10,1;36;7,6
"18";2018-01-01 17:00:00;448,830285714286;24;26,7;10,4;36;14,8
"19";2018-01-01 18:00:00;401,954571428571;20,1;24,1;12,1;47;24,1
"20";2018-01-01 19:00:00;379,987714285714;17,7;21,9;13,8;60;27,7
"21";2018-01-01 20:00:00;388,752285714286;17,1;20,4;13,4;64;22,3
"22";2018-01-01 21:00:00;397,769285714286;17,6;18,7;12,2;66;9,4
"23";2018-01-01 22:00:00;388,629428571429;16,1;17,5;12,4;72;11,2
"24";2018-01-01 23:00:00;383,956142857143;15,5;17,2;12,5;74;13
"25";2018-01-02;379,313857142857;15,5;17;12,3;74;11,2
"26";2018-01-02 01:00:00;378,705285714286;16,7;16,8;12,9;78;5,4
"27";2018-01-02 02:00:00;377,371;15,9;16,8;13,1;79;9,4
"28";2018-01-02 03:00:00;394,730142857143;15,1;16,8;12,7;77;13
"29";2018-01-02 04:00:00;405,248714285714;16,4;16,7;12,5;76;5,4
"30";2018-01-02 05:00:00;407,172714285714;16;16,5;11,6;73;5,4
"31";2018-01-02 06:00:00;420,976428571429;15,3;16,2;10,5;69;5,4
"32";2018-01-02 07:00:00;464,798857142857;17;16,5;11,6;73;0
"33";2018-01-02 08:00:00;513,437;16;17,5;11,1;66;9,4
"34";2018-01-02 09:00:00;544,880285714286;15,9;18,8;9,6;55;14,8
"35";2018-01-02 10:00:00;555,268428571429;19,2;20,6;11,5;56;9,4
"36";2018-01-02 11:00:00;555,622714285714;16,7;20,1;9,4;50;16,6
"37";2018-01-02 12:00:00;568,334571428571;17,9;20,5;8,2;45;11,2
"38";2018-01-02 13:00:00;581,735142857143;18,1;21;8,3;44;13
"39";2018-01-02 14:00:00;594,499714285714;18,4;21,9;8,8;43;16,6
"40";2018-01-02 15:00:00;581,852857142857;17,9;22,3;8,4;41;20,5
"41";2018-01-02 16:00:00;552,863571428571;20,6;22,7;11,4;49;13
