epoch,step,test_loss,test_mape,test_r2,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
0,49,,,,,134.69662475585938,,0.8480721116065979,,-367.1336975097656,,,
0,99,,,,,86.54792785644531,,0.6768553853034973,,-300.7987060546875,,,
0,140,,,,,,,,,,42.01613998413086,0.4620871841907501,-118.47130584716797
0,140,,,,113.52472686767578,,0.7607478499412537,,-329.7745056152344,,,,
1,149,,,,,35.95558166503906,,0.4257267415523529,,-128.25863647460938,,,
1,199,,,,,12.154794692993164,,0.23231196403503418,,-28.812000274658203,,,
1,249,,,,,6.235391616821289,,0.1544734537601471,,-12.77013874053955,,,
1,281,,,,,,,,,,3.791717290878296,0.11694266647100449,-9.781604766845703
1,281,,,,13.996979713439941,,0.22849969565868378,,-39.79918670654297,,,,
2,299,,,,,4.239862442016602,,0.11694294214248657,,-10.214578628540039,,,
2,349,,,,,4.415614128112793,,0.1315934807062149,,-18.07340431213379,,,
2,399,,,,,2.4552035331726074,,0.09542766213417053,,-6.345211982727051,,,
2,422,,,,,,,,,,2.870924711227417,0.10306385904550552,-7.163366317749023
2,422,,,,3.4096202850341797,,0.10977824777364731,,-8.935741424560547,,,,
3,449,,,,,3.311886787414551,,0.09802167117595673,,-7.978935241699219,,,
3,499,,,,,3.8293535709381104,,0.11719132214784622,,-8.548397064208984,,,
3,549,,,,,2.435689926147461,,0.09787434339523315,,-3.842855930328369,,,
3,563,,,,,,,,,,2.2365424633026123,0.09039542824029922,-5.359523773193359
3,563,,,,2.6240272521972656,,0.09616893529891968,,-6.647116661071777,,,,
4,599,,,,,1.546940565109253,,0.07593107223510742,,-2.622147798538208,,,
4,649,,,,,3.054812431335449,,0.10243359208106995,,-8.774922370910645,,,
4,699,,,,,1.628140926361084,,0.07877973467111588,,-3.888749599456787,,,
4,704,,,,,,,,,,1.790805459022522,0.08042343705892563,-4.092087745666504
4,704,,,,2.0684423446655273,,0.08494355529546738,,-5.026288032531738,,,,
5,749,,,,,1.7831376791000366,,0.0834193006157875,,-4.715249538421631,,,
5,799,,,,,0.7880047559738159,,0.05329480022192001,,-1.2231028079986572,,,
5,845,,,,,,,,,,1.4450615644454956,0.07157960534095764,-3.108977794647217
5,845,,,,1.652205228805542,,0.07564214617013931,,-3.814967632293701,,,,
6,849,,,,,1.6251312494277954,,0.07590700685977936,,-4.32656192779541,,,
6,899,,,,,2.19777774810791,,0.0851595401763916,,-6.274789810180664,,,
6,949,,,,,0.9378035068511963,,0.054081350564956665,,-4.320281505584717,,,
6,986,,,,,,,,,,1.1914098262786865,0.06431158632040024,-2.387728691101074
6,986,,,,1.337334394454956,,0.0676117017865181,,-2.896719455718994,,,,
7,999,,,,,0.6894460320472717,,0.04839098080992699,,-0.7931396961212158,,,
7,1049,,,,,0.8847107887268066,,0.05488673970103264,,-1.7301599979400635,,,
7,1099,,,,,0.9944441318511963,,0.06079421192407608,,-1.459038257598877,,,
7,1127,,,,,,,,,,0.9729465842247009,0.05736600235104561,-1.7665367126464844
7,1127,,,,1.098488450050354,,0.060963597148656845,,-2.2009005546569824,,,,
8,1149,,,,,1.2472474575042725,,0.06685055792331696,,-2.553123712539673,,,
8,1199,,,,,0.5770302414894104,,0.039888493716716766,,-0.8212412595748901,,,
8,1249,,,,,1.0772337913513184,,0.06432720273733139,,-2.12974214553833,,,
8,1268,,,,,,,,,,0.8039234280586243,0.0517558827996254,-1.285926103591919
8,1268,,,,0.9041225910186768,,0.054982494562864304,,-1.634002685546875,,,,
9,1299,,,,,0.6309603452682495,,0.050428539514541626,,-0.7501424551010132,,,
9,1349,,,,,0.6535061001777649,,0.04650178179144859,,-0.5894075632095337,,,
9,1399,,,,,0.8146573305130005,,0.05114152282476425,,-2.0075137615203857,,,
9,1409,,,,,,,,,,0.6720879077911377,0.04718383774161339,-0.9110565185546875
9,1409,,,,0.7486518621444702,,0.04975256696343422,,-1.1815950870513916,,,,
10,1449,,,,,0.38384580612182617,,0.03816939890384674,,-0.4453986883163452,,,
10,1499,,,,,0.6128502488136292,,0.04372445493936539,,-1.1074485778808594,,,
10,1549,,,,,0.9523520469665527,,0.056786730885505676,,-2.012953996658325,,,
10,1550,,,,,,,,,,0.5611591935157776,0.042601328343153,-0.595634937286377
10,1550,,,,0.6227563619613647,,0.045200541615486145,,-0.8145849704742432,,,,
11,1599,,,,,0.3369283676147461,,0.032365843653678894,,0.124675452709198,,,
11,1649,,,,,0.44175219535827637,,0.0385008230805397,,-0.29088473320007324,,,
11,1691,,,,,,,,,,0.46590456366539,0.038744088262319565,-0.32478201389312744
11,1691,,,,0.5229573845863342,,0.04126180708408356,,-0.5240375995635986,,,,
12,1699,,,,,0.589877724647522,,0.04348386824131012,,-0.7475804090499878,,,
12,1749,,,,,0.6046085357666016,,0.044462960213422775,,-1.2215533256530762,,,
12,1799,,,,,0.6734704971313477,,0.0464700311422348,,-1.687812089920044,,,
12,1832,,,,,,,,,,0.39334920048713684,0.035505712032318115,-0.11847352981567383
12,1832,,,,0.43481534719467163,,0.03752829506993294,,-0.26747560501098633,,,,
13,1849,,,,,0.6103025674819946,,0.04599003493785858,,-0.6305254697799683,,,
13,1899,,,,,0.32964909076690674,,0.028538543730974197,,0.165260910987854,,,
13,1949,,,,,0.2562607526779175,,0.028055498376488686,,0.17852157354354858,,,
13,1973,,,,,,,,,,0.3249562084674835,0.03222498670220375,0.07599931955337524
13,1973,,,,0.36366501450538635,,0.03419822081923485,,-0.05985987186431885,,,,
14,1999,,,,,0.2778851091861725,,0.0323273241519928,,0.20198595523834229,,,
14,2049,,,,,0.44458311796188354,,0.03709593415260315,,-0.6002745628356934,,,
14,2099,,,,,0.3225840926170349,,0.033515579998493195,,-0.05414462089538574,,,
14,2114,,,,,,,,,,0.2703191637992859,0.029348811134696007,0.2313576340675354
14,2114,,,,0.3026866614818573,,0.03118947707116604,,0.11806857585906982,,,,
15,2149,,,,,0.22582849860191345,,0.028455223888158798,,0.19775062799453735,,,
15,2199,,,,,0.31801867485046387,,0.03252353146672249,,0.006356537342071533,,,
15,2249,,,,,0.2809351980686188,,0.029871530830860138,,0.12293404340744019,,,
15,2255,,,,,,,,,,0.2239525467157364,0.02642677165567875,0.3631993532180786
15,2255,,,,0.2521812915802002,,0.028379058465361595,,0.2651060223579407,,,,
16,2299,,,,,0.36546677350997925,,0.03569061681628227,,-0.292216420173645,,,
16,2349,,,,,0.17299440503120422,,0.023013286292552948,,0.5797085762023926,,,
16,2396,,,,,,,,,,0.18887481093406677,0.02432839199900627,0.46294158697128296
16,2396,,,,0.20920979976654053,,0.02577195316553116,,0.39025741815567017,,,,
17,2399,,,,,0.1904425024986267,,0.023897649720311165,,0.2738209366798401,,,
17,2449,,,,,0.2107788771390915,,0.025708092376589775,,0.2393389344215393,,,
17,2499,,,,,0.12671326100826263,,0.021860241889953613,,0.6209648847579956,,,
17,2537,,,,,,,,,,0.15528112649917603,0.022238457575440407,0.558463990688324
17,2537,,,,0.17484363913536072,,0.02350759506225586,,0.49060314893722534,,,,
18,2549,,,,,0.19457921385765076,,0.025306344032287598,,0.43522995710372925,,,
18,2599,,,,,0.18308839201927185,,0.0225081667304039,,0.45880287885665894,,,
18,2649,,,,,0.07165156304836273,,0.0157548189163208,,0.811058759689331,,,
18,2678,,,,,,,,,,0.12850765883922577,0.019933274015784264,0.6345933675765991
18,2678,,,,0.14624568819999695,,0.021439336240291595,,0.5737147927284241,,,,
19,2699,,,,,0.07207750529050827,,0.01697179675102234,,0.7961298227310181,,,
19,2749,,,,,0.13979117572307587,,0.02263782173395157,,0.46008050441741943,,,
19,2799,,,,,0.14927050471305847,,0.02196987345814705,,0.4335171580314636,,,
19,2819,,,,,,,,,,0.10811468958854675,0.018290536478161812,0.692579984664917
19,2819,,,,0.12297036498785019,,0.0196370966732502,,0.6416170001029968,,,,
20,2849,,,,,0.109805166721344,,0.020349636673927307,,0.6042134165763855,,,
20,2899,,,,,0.0745486319065094,,0.014954956248402596,,0.7823584079742432,,,
20,2949,,,,,0.10869469493627548,,0.020195024088025093,,0.654605507850647,,,
20,2960,,,,,,,,,,0.09118567407131195,0.016695743426680565,0.7407169342041016
20,2960,,,,0.10329250991344452,,0.017950836569070816,,0.6990267038345337,,,,
21,2999,,,,,0.06020228937268257,,0.014969701878726482,,0.8031916618347168,,,
21,3049,,,,,0.09595109522342682,,0.017531882971525192,,0.5841928720474243,,,
21,3099,,,,,0.07437001168727875,,0.015536163933575153,,0.798465371131897,,,
21,3101,,,,,,,,,,0.07659110426902771,0.015357483178377151,0.7822160720825195
21,3101,,,,0.08748441189527512,,0.01647297479212284,,0.7451192140579224,,,,
22,3149,,,,,0.10754184424877167,,0.01777481660246849,,0.565054178237915,,,
22,3199,,,,,0.0844382643699646,,0.01614953577518463,,0.7638179063796997,,,
22,3242,,,,,,,,,,0.06561828404664993,0.014223652891814709,0.8134168982505798
22,3242,,,,0.07481648027896881,,0.015220871195197105,,0.7820088863372803,,,,
23,3249,,,,,0.0816514641046524,,0.01777173951268196,,0.8142878413200378,,,
23,3299,,,,,0.05286097154021263,,0.014044729992747307,,0.8183473944664001,,,
23,3349,,,,,0.06625611335039139,,0.014758975245058537,,0.6362435817718506,,,
23,3383,,,,,,,,,,0.05600936338305473,0.01306307502090931,0.8407394886016846
