epoch,step,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
0,49,,2.0616469383239746,,0.0752313956618309,,-3.575263023376465,,,
0,99,,1.9276026487350464,,0.08239243179559708,,-5.731715202331543,,,
0,140,,,,,,,0.7832089066505432,0.051640335470438004,-1.227024793624878
0,140,15.971235275268555,,0.17415283620357513,,-45.529396057128906,,,,
1,149,,0.7332085371017456,,0.05096857622265816,,-1.294177770614624,,,
1,199,,0.6115070581436157,,0.0468551330268383,,-1.183725357055664,,,
1,249,,0.3416682481765747,,0.033438198268413544,,0.1605784296989441,,,
1,281,,,,,,,0.2364816814661026,0.027891533449292183,0.327573299407959
1,281,0.45145922899246216,,0.037957414984703064,,-0.31567275524139404,,,,
2,299,,0.1291833221912384,,0.022148750722408295,,0.707144558429718,,,
2,349,,0.16622516512870789,,0.024156492203474045,,0.6339594721794128,,,
2,399,,0.11085894703865051,,0.019363120198249817,,0.36403608322143555,,,
2,422,,,,,,,0.09912876039743423,0.017764749005436897,0.7181310653686523
2,422,0.15901806950569153,,0.022564126178622246,,0.5364850759506226,,,,
3,449,,0.09185013175010681,,0.019042667001485825,,0.7654682993888855,,,
3,499,,0.052026085555553436,,0.013022271916270256,,0.865938663482666,,,
3,549,,0.026464976370334625,,0.00884123146533966,,0.9136293530464172,,,
3,563,,,,,,,0.05476516857743263,0.013050264678895473,0.8442773222923279
3,563,0.07641282677650452,,0.015634845942258835,,0.7774116396903992,,,,
4,599,,0.03879546374082565,,0.011526050046086311,,0.8942915797233582,,,
4,649,,0.04780026152729988,,0.014103380031883717,,0.8420093655586243,,,
4,699,,0.05041162297129631,,0.012103184126317501,,0.86452716588974,,,
4,704,,,,,,,0.0376783050596714,0.010592693462967873,0.8928631544113159
4,704,0.04388955980539322,,0.011712142266333103,,0.8720526695251465,,,,
5,749,,0.021951017901301384,,0.00902080163359642,,0.9274176359176636,,,
5,799,,0.02212003618478775,,0.00786975584924221,,0.9395421147346497,,,
5,845,,,,,,,0.02661491557955742,0.008954341523349285,0.9243214726448059
5,845,0.029631568118929863,,0.009484711103141308,,0.9136666059494019,,,,
6,849,,0.021234415471553802,,0.008660899475216866,,0.9241252541542053,,,
6,899,,0.019036339595913887,,0.00821012444794178,,0.9343593716621399,,,
6,949,,0.01853935420513153,,0.0070979055017232895,,0.9363676905632019,,,
6,986,,,,,,,0.022705374285578728,0.007952303625643253,0.9354381561279297
6,986,0.023063598200678825,,0.008243562653660774,,0.9328001141548157,,,,
7,999,,0.03142969682812691,,0.009252957068383694,,0.8847483992576599,,,
7,1049,,0.017060665413737297,,0.0072455573827028275,,0.9502939581871033,,,
7,1099,,0.031451545655727386,,0.009240354411303997,,0.920792818069458,,,
7,1127,,,,,,,0.02173616550862789,0.0078073847107589245,0.9381940364837646
7,1127,0.021763160824775696,,0.007867200300097466,,0.9365866184234619,,,,
8,1149,,0.011577960103750229,,0.006161286495625973,,0.9742901921272278,,,
8,1199,,0.025795498862862587,,0.008040530607104301,,0.9355397820472717,,,
8,1249,,0.01726740039885044,,0.005346086807549,,0.940125048160553,,,
8,1268,,,,,,,0.021254833787679672,0.008036809042096138,0.9395626783370972
8,1268,0.018804334104061127,,0.0072493418119847775,,0.9451903104782104,,,,
9,1299,,0.019991157576441765,,0.006881963461637497,,0.9484764337539673,,,
9,1349,,0.009064377285540104,,0.005298439878970385,,0.978888988494873,,,
9,1399,,0.018890976905822754,,0.006376747507601976,,0.9219050407409668,,,
9,1409,,,,,,,0.02069416269659996,0.007506037130951881,0.9411569237709045
9,1409,0.018859580159187317,,0.0072213090024888515,,0.9450514912605286,,,,
10,1449,,0.029525810852646828,,0.009028617292642593,,0.9356778264045715,,,
