iter	MultiClass
0	5.252585979
1	5.047756354
2	4.893150697
3	4.761616446
4	4.651356132
5	4.554095677
6	4.465170903
7	4.381275961
8	4.311124947
9	4.241483033
10	4.176132163
11	4.116076897
12	4.059519766
13	4.008106871
14	3.958703534
15	3.913514679
16	3.868181498
17	3.825206368
18	3.784261916
19	3.745228457
20	3.707999067
21	3.670408644
22	3.636216911
23	3.602711824
24	3.569349303
25	3.538989677
26	3.509196133
27	3.478154701
28	3.450989378
29	3.422200833
30	3.396898321
31	3.371685133
32	3.34766593
33	3.323273374
34	3.297464183
35	3.27318559
36	3.2505333
37	3.227839649
38	3.207476107
39	3.189819989
40	3.171632991
41	3.148821855
42	3.131175637
43	3.10963549
44	3.089682484
45	3.07004893
46	3.048023884
47	3.032685115
48	3.013563081
49	2.997368259
50	2.981711578
51	2.964003758
52	2.948403399
53	2.931346144
54	2.916305046
55	2.899339535
56	2.887442138
57	2.870171915
58	2.857081632
59	2.846218935
60	2.830656637
61	2.813667365
62	2.798455761
63	2.78698782
64	2.77057981
65	2.755124437
66	2.742385948
67	2.72603228
68	2.709752534
69	2.696979944
70	2.685325436
71	2.674010842
72	2.662960258
73	2.648913378
74	2.636437359
75	2.624662507
76	2.611915438
77	2.59894748
78	2.583235356
79	2.572155731
80	2.563160465
81	2.551383413
82	2.541976512
83	2.53176636
84	2.521522106
85	2.509804236
86	2.501128643
87	2.494634654
88	2.482905564
89	2.471534427
90	2.461234511
91	2.44973357
92	2.439907112
93	2.425687306
94	2.415802987
95	2.407970466
96	2.397110629
97	2.384345959
98	2.370807739
99	2.359820297
100	2.349879215
101	2.340699363
102	2.331130095
103	2.322612468
104	2.31641307
105	2.30599303
106	2.295871321
107	2.287610224
108	2.277645162
109	2.268532632
110	2.258488146
111	2.250683126
112	2.240060238
113	2.234701933
114	2.224770531
115	2.220169495
116	2.21223467
117	2.201678884
118	2.191196362
119	2.183094991
120	2.173831755
121	2.167265163
122	2.159871999
123	2.150916775
124	2.142778223
125	2.133521367
126	2.124899236
127	2.116248944
128	2.111405238
129	2.103238964
130	2.095171695
131	2.091170401
132	2.083421703
133	2.074329194
134	2.069435766
135	2.060251294
136	2.05312258
137	2.045295559
138	2.038583542
139	2.032527589
140	2.025059842
141	2.018126056
142	2.012187588
