iter	Passed	Remaining
0	254	254462
1	500	249881
2	747	248498
3	993	247478
4	1241	247151
5	1486	246210
6	1747	247910
7	1993	247243
8	2235	246108
9	2486	246181
10	2741	246522
11	2988	246026
12	3234	245551
13	3477	244918
14	3727	244769
15	3981	244845
16	4225	244355
17	4485	244711
18	4743	244907
19	5004	245207
20	5264	245429
21	5515	245177
22	5762	244784
23	6014	244590
24	6260	244163
25	6504	243650
26	6744	243067
27	6996	242887
28	7245	242595
29	7512	242913
30	7774	243008
31	8021	242649
32	8288	242879
33	8536	242549
34	8787	242287
35	9032	241882
36	9277	241472
37	9522	241060
38	9767	240675
39	10021	240514
40	10263	240073
41	10516	239883
42	10764	239562
43	11013	239290
44	11260	238980
45	11502	238547
46	11754	238346
47	11995	237919
48	12241	237578
49	12480	237128
50	12721	236728
51	12960	236276
52	13200	235871
53	13448	235599
54	13686	235155
55	13930	234821
56	14175	234523
57	14420	234201
58	14657	233774
59	14881	233145
60	15128	232881
61	15381	232703
62	15625	232396
63	15863	232003
64	16108	231713
65	16356	231473
66	16582	230921
67	16818	230509
68	17057	230158
69	17290	229712
70	17518	229215
71	17742	228686
72	17976	228277
73	18215	227943
74	18449	227549
75	18682	227139
76	18907	226645
77	19145	226307
78	19393	226089
79	19627	225711
80	19846	225173
81	20085	224857
82	20282	224081
83	20516	223722
84	20733	223189
85	20957	222734
86	21178	222250
87	21386	221643
88	21612	221222
89	21844	220873
90	22074	220506
91	22303	220127
92	22533	219761
93	22775	219521
94	23006	219166
95	23215	218613
96	23448	218284
97	23688	218028
98	23933	217818
99	24171	217544
100	24403	217213
101	24639	216925
102	24872	216608
103	25100	216249
104	25328	215892
105	25562	215595
106	25798	215312
107	26022	214924
108	26258	214644
109	26490	214332
110	26727	214063
111	26953	213700
112	27188	213420
113	27399	212949
114	27633	212661
115	27849	212230
116	28057	211748
117	28295	211494
118	28533	211245
119	28760	210907
120	28989	210594
121	29216	210261
122	29437	209892
123	29673	209630
124	29906	209348
125	30139	209062
126	30374	208796
127	30608	208520
128	30819	208089
129	31039	207723
130	31250	207303
131	31433	206696
132	31653	206345
133	31889	206090
134	32106	205717
135	32338	205444
136	32547	205025
137	32762	204646
138	32997	204396
139	33212	204019
140	33440	203725
141	33648	203311
142	33883	203064
143	34112	202781
144	34294	202217
145	34527	201963
146	34764	201728
147	35002	201498
148	35235	201242
149	35472	201013
150	35693	200688
151	35928	200444
152	36169	200235
153	36387	199895
154	36628	199683
155	36860	199425
156	37081	199106
157	37315	198860
158	37531	198516
159	37756	198220
160	37973	197886
161	38206	197638
162	38437	197376
163	38660	197072
164	38900	196862
165	39098	196432
166	39307	196065
167	39540	195818
168	39754	195481
169	39988	195236
170	40214	194956
171	40445	194704
172	40673	194435
173	40909	194200
174	41127	193887
175	41357	193629
176	41593	193396
177	41819	193119
178	42022	192740
179	42248	192466
180	42455	192105
181	42663	191751
182	42895	191505
183	43113	191197
184	43351	190979
185	43584	190739
186	43819	190511
187	44055	190281
188	44273	189978
189	44476	189608
190	44697	189320
191	44916	189023
192	45136	188730
193	45372	188505
194	45592	188216
195	45798	187868
196	46006	187529
197	46239	187294
198	46472	187056
199	46687	186749
200	46922	186522
201	47156	186291
202	47392	186067
203	47632	185861
204	47863	185617
205	48089	185354
206	48324	185125
207	48530	184788
208	48738	184460
209	48956	184170
210	49165	183847
211	49408	183651
212	49646	183436
213	49873	183181
214	50122	183003
215	50357	182780
216	50588	182537
217	50830	182335
218	51064	182106
219	51308	181913
220	51558	181739
221	51787	181487
222	52017	181243
223	52259	181042
224	52473	180740
225	52713	180532
226	52920	180209
227	53147	179957
228	53364	179666
229	53590	179410
230	53824	179182
231	54065	178974
232	54267	178639
233	54503	178418
234	54750	178230
235	54976	177974
236	55198	177708
237	55424	177451
238	55664	177242
239	55910	177049
240	56134	176790
241	56378	176590
242	56613	176362
243	56845	176127
244	57081	175905
245	57312	175666
246	57553	175456
247	57787	175226
248	57990	174901
249	58204	174612
250	58440	174389
251	58680	174177
252	58905	173921
253	59121	173640
254	59318	173303
255	59550	173068
256	59780	172829
257	60000	172558
258	60234	172331
259	60474	172120
260	60667	171775
261	60874	171471
262	61117	171267
263	61359	171062
264	61585	170812
265	61819	170585
266	62039	170318
267	62274	170092
268	62502	169849
269	62733	169613
270	62960	169367
271	63168	169068
272	63381	168785
273	63610	168543
274	63841	168309
275	64055	168028
276	64253	167709
277	64463	167419
278	64676	167138
279	64908	166908
280	65147	166693
281	65387	166483
282	65621	166256
283	65842	165998
284	66086	165795
285	66324	165579
286	66550	165333
287	66753	165030
288	66984	164795
289	67209	164548
290	67446	164328
291	67682	164106
292	67892	163823
293	68123	163590
294	68366	163384
295	68584	163119
296	68802	162854
297	69038	162633
298	69232	162313
299	69456	162065
300	69679	161814
301	69890	161535
302	70103	161261
303	70332	161024
304	70566	160799
305	70771	160508
306	70990	160248
307	71225	160025
308	71449	159778
309	71660	159502
310	71878	159242
311	72108	159009
312	72342	158783
313	72573	158552
314	72810	158334
315	73049	158120
316	73292	157915
317	73491	157613
318	73702	157339
319	73942	157127
320	74180	156911
321	74412	156681
322	74649	156463
323	74869	156209
324	75084	155945
325	75299	155680
326	75537	155463
327	75762	155220
328	76000	155004
329	76227	154765
330	76448	154514
331	76689	154303
332	76905	154042
333	77126	153791
334	77360	153567
335	77584	153322
